107,SWV,SAWANTWADI R,00:00:00,10:25:00,0,SWV,SAWANTWADI ROAD,MAO,MADGOAN JN.
107,THVM,THIVIM,11:06:00,11:08:00,32,SWV,SAWANTWADI ROAD,MAO,MADGOAN JN.
107,KRMI,KARMALI,11:28:00,11:30:00,49,SWV,SAWANTWADI ROAD,MAO,MADGOAN JN.
107,MAO,MADGOAN JN.,12:10:00,00:00:00,78,SWV,SAWANTWADI ROAD,MAO,MADGOAN JN.
108,MAO,MADGOAN JN.,00:00:00,20:30:00,0,MAO,MADGOAN JN.,SWV,SAWANTWADI ROAD
108,KRMI,KARMALI,21:04:00,21:06:00,33,MAO,MADGOAN JN.,SWV,SAWANTWADI ROAD
108,THVM,THIVIM,21:26:00,21:28:00,51,MAO,MADGOAN JN.,SWV,SAWANTWADI ROAD
108,SWV,SAWANTWADI R,22:25:00,00:00:00,83,MAO,MADGOAN JN.,SWV,SAWANTWADI ROAD
128,MAO,MADGOAN JN.,19:40:00,19:40:00,0,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,KRMI,KARMALI,20:18:00,20:20:00,33,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,THVM,THIVIM,20:40:00,20:42:00,51,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,SWV,SAWANTWADI R,21:16:00,21:18:00,83,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,KUDL,KUDAL,21:38:00,21:40:00,104,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,SNDD,SINDHU DURG,21:54:00,21:56:00,114,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,KKW,KANKAVALI,22:18:00,22:20:00,132,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,VBW,VAIBHAVWADI,22:40:00,22:42:00,163,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,RAJP,RAJAPUR ROAD,22:56:00,22:58:00,179,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,RN,RATNAGIRI,23:52:00,23:57:00,244,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,SGR,SANGMESHWAR,00:34:00,00:36:00,280,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,CHI,CHIPLUN,01:10:00,01:12:00,322,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
